 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 40 533 13 2 ZTF_r 1519464735015 0 2.9687 170.758 16.1741 26.2385 1.08711e-05 0.0401394 0.105507 2.3608e-05 928 30. 0.080309 0.072898 19.0798 26.2385 1 2459273.9647338 533120250 -72.800367257792 97.5360952263849 -0.830276997844198 0.973045106678194 -175.515725191256 145.000806227356 -1.21859897400601 1.10452593705646 null null null null null 2458186.976065 2458255.813901 57
 41 533 13 2 ZTF_g 1521463135015 0 2.7405 93.7552 13.8329 26.3532 1.47791e-05 0.0394796 -0.0162535 4.18584e-05 759 30. 0.063094 0.073018 19.4172 26.3532 1 2459275.9631366 533120150 63.6767023340639 82.3209967217961 0.860448229319874 1.0840235893153 83.1557911459582 126.192187939905 0.663399625209399 1.10707690890178 null null null null null 2458203.992778 2458360.637616 57
 42 533 13 2 ZTF_r 1524474745015 0 2.1757 183.033 10.2386 26.3132 3.0288e-06 0.0219408 0.0879543 6.56784e-06 978 30. 0.055516 0.062611 19.9019 26.3132 1 2459278.9747454 533120250 13.8394493518998 48.0234731936731 0.32056790977977 1.05055623186504 192.106214375231 82.7051977648983 2.3384269188453 1.07802820845891 null null null null null 2458186.976065 2458255.813901 57
 43 533 13 2 ZTF_g 1524510285015 0 2.5931 97.4867 10.6148 26.3858 9.0836e-06 0.0355074 -0.0423559 2.24473e-05 905 30. 0.058338 0.065555 19.8201 26.3858 1 2459279.0102894 533120150 -26.274586786762 54.4157105581153 -0.537113899531671 1.01796954196194 -99.9874432944876 86.9463456277709 -1.15773542580832 1.09236621250898 null null null null null 2458203.992778 2458360.637616 57
 44 533 13 2 ZTF_r 1528504895015 0 2.2562 180.745 7.19855 26.2972 3.5428e-06 0.0236092 0.0875713 7.76343e-06 972 30. 0.083443 0.061554 20.2632 26.2972 1 2459283.0048958 533120250 5.25135291690839 37.184802584624 0.157094336007345 1.04218163095034 41.7497743888138 61.7296670769578 0.680887545837438 1.09270305750001 null null null null null 2458186.976065 2458255.813901 57
 45 533 13 2 ZTF_r 1537460375015 0 1.9601 176.726 7.17042 26.2639 4.0641e-06 0.0252326 0.0839331 8.90977e-06 974 30. 0.079438 0.063613 20.4351 26.2639 1 2459291.9603704 533120250 4.39707225017364 30.3334909355889 0.16124862083985 0.912174279109553 18.732529845778 53.488394343158 0.352575446387016 1.0834297573196 null null null null null 2458186.976065 2458255.813901 57
 46 533 13 2 ZTF_g 1537485045015 0 1.8739 95.5474 5.92307 26.3592 9.8138e-06 0.0392516 -0.0893442 2.16002e-05 967 30. 0.107583 0.062127 20.7205 26.3592 1 2459291.9850463 533120150 6.34503174289423 21.8362608982514 0.323229005224542 0.988981091793349 40.4978092104703 39.8892417366936 1.02209424171722 1.07484578742594 null null null null null 2458203.992778 2458360.637616 57
 47 533 13 2 ZTF_g 1541329845015 0 3.1521 70.2406 10.1781 26.0265 2.24083e-05 0.0469935 -0.0134821 6.6483e-05 727 30. 0.10373 0.081881 19.3138 26.0265 1 2459295.8298495 533120150 19.0753449255113 62.2381115168791 0.34093437722418 0.927032890934285 28.5576447092611 89.5476820994999 0.321057803120958 1.10459155436111 null null null null null 2458203.992778 2458360.637616 57
 48 533 13 2 ZTF_r 1541481625015 0 2.1073 171.757 7.10449 26.2428 3.1031e-06 0.0219998 0.0869168 6.77506e-06 971 30. 0.072449 0.061644 20.2705 26.2428 1 2459295.9816204 533120250 -0.56835490017494 29.7661242825149 -0.0212398829488135 0.992561763997983 -38.1535047875818 51.1810963259938 -0.750481595642897 1.08069541761383 null null null null null 2458186.976065 2458255.813901 57
 49 533 13 2 ZTF_r 1543420375015 0 2.5243 174.06 9.56762 26.2702 5.1473e-06 0.0285223 0.086248 1.12404e-05 977 30. 0.07176 0.065715 19.8167 26.2702 1 2459297.9203704 533120250 346.792301041103 47.3814238689396 8.14171959168497 1.12335619798182 320.893428537941 74.9744209345936 4.30886507977895 1.084404797629 null null null null null 2458186.976065 2458255.813901 57
 50 533 13 2 ZTF_g 1543443885015 0 3.4123 93.8712 8.40212 26.3338 1.09921e-05 0.0368062 -0.0248857 2.99039e-05 854 30. 0.081564 0.084457 19.8081 26.3338 1 2459297.9438889 533120150 312.572457613183 57.4082692239241 6.0566301591111 0.949621076058471 361.969917940271 79.8006774141613 4.56647509735097 1.14126070306828 null null null null null 2458203.992778 2458360.637616 57
 51 533 13 2 ZTF_r 1547401715015 0 2.813 179.073 16.6714 26.2962 7.6156e-06 0.0345019 0.0849428 1.6679e-05 958 30. 0.062894 0.075461 19.1504 26.2962 1 2459301.901713 533120250 925.451959466903 97.9817009204179 10.50663647304 1.0137563843126 851.126951853016 148.09770021837 5.78577074174562 1.10279748069619 null null null null null 2458186.976065 2458255.813901 57
 52 533 13 2 ZTF_g 1547451215015 0 2.8118 95.0185 18.2548 26.3607 2.12381e-05 0.0426431 -0.017607 6.41227e-05 657 30. 0.064705 0.077294 19.1269 26.3607 1 2459301.9512153 533120150 915.717477630942 109.788727304558 9.27808941831144 0.908900813574011 1026.02195152507 166.315576350453 6.21067666100092 1.10749236183007 null null null null null 2458203.992778 2458360.637616 57
 53 533 13 2 ZTF_g 1549388945015 0 1.9386 88.8672 19.8787 26.2938 1.51274e-05 0.0387511 -0.0217111 4.48858e-05 731 30. 0.052748 0.063977 19.2429 26.2938 1 2459303.8889468 533120150 1963.91414781127 95.2562540621165 22.9342108469591 1.06015752046223 1976.27226925142 168.111016829847 11.8349327379492 1.07412930499744 null null null null null 2458203.992778 2458360.637616 57
 54 533 13 2 ZTF_r 1549425335015 0 1.8037 176.631 18.1376 26.2664 5.5285e-06 0.0296035 0.0923052 1.20511e-05 981 30. 0.052151 0.057649 19.3861 26.2664 1 2459303.9253356 533120250 1939.24236590493 82.0821401141777 26.2807781624496 1.10638928031769 1839.742920895 147.484316538986 12.5581739047289 1.06627571130244 null null null null null 2458186.976065 2458255.813901 57
# ------------------------------END---------------------------------
